 4471                      H+                         He+
   Ne   dwl+150  5000  10000  20000  40000   5000  10000  20000  40000
  13.0    0.00 -7.413 -7.432 -7.456 -7.481 -7.413 -7.432 -7.456 -7.481
  13.5    0.00 -6.937 -6.954 -6.975 -6.997 -6.937 -6.954 -6.975 -6.997
  14.0    0.00 -6.682 -6.682 -6.697 -6.717 -6.682 -6.682 -6.697 -6.717
  14.5    0.00 -6.331 -6.321 -6.323 -6.339 -6.331 -6.321 -6.323 -6.339
  15.0    0.00 -5.890 -5.869 -5.863 -5.873 -5.890 -5.869 -5.863 -5.873
  15.5    0.00 -5.474 -5.442 -5.432 -5.435 -5.474 -5.442 -5.432 -5.435
  16.0    0.00 -5.082 -5.042 -5.015 -5.006 -5.082 -5.042 -5.015 -5.006
  13.0   30.00 -7.219 -7.238 -7.262 -7.288 -7.219 -7.238 -7.262 -7.288
  13.5   30.00 -6.743 -6.760 -6.781 -6.803 -6.743 -6.760 -6.781 -6.803
  14.0   30.00 -6.488 -6.488 -6.503 -6.523 -6.488 -6.488 -6.503 -6.523
  14.5   30.00 -6.137 -6.128 -6.129 -6.145 -6.137 -6.128 -6.129 -6.145
  15.0   30.00 -5.696 -5.675 -5.670 -5.679 -5.696 -5.675 -5.670 -5.679
  15.5   30.00 -5.280 -5.248 -5.238 -5.242 -5.280 -5.248 -5.238 -5.242
  16.0   30.00 -4.836 -4.804 -4.777 -4.775 -4.836 -4.804 -4.777 -4.775
  13.0   50.00 -7.060 -7.080 -7.104 -7.129 -7.060 -7.080 -7.104 -7.129
  13.5   50.00 -6.585 -6.602 -6.623 -6.644 -6.585 -6.602 -6.623 -6.644
  14.0   50.00 -6.330 -6.330 -6.345 -6.365 -6.330 -6.330 -6.345 -6.365
  14.5   50.00 -5.979 -5.969 -5.971 -5.986 -5.979 -5.969 -5.971 -5.986
  15.0   50.00 -5.537 -5.516 -5.511 -5.520 -5.537 -5.516 -5.511 -5.520
  15.5   50.00 -5.122 -5.090 -5.080 -5.083 -5.122 -5.090 -5.080 -5.083
  16.0   50.00 -4.642 -4.613 -4.592 -4.609 -4.642 -4.613 -4.592 -4.609
  13.0   70.00 -6.867 -6.886 -6.910 -6.935 -6.867 -6.886 -6.910 -6.935
  13.5   70.00 -6.391 -6.408 -6.429 -6.451 -6.391 -6.408 -6.429 -6.451
  14.0   70.00 -6.136 -6.136 -6.151 -6.171 -6.136 -6.136 -6.151 -6.171
  14.5   70.00 -5.785 -5.775 -5.777 -5.793 -5.785 -5.775 -5.777 -5.793
  15.0   70.00 -5.344 -5.323 -5.317 -5.327 -5.344 -5.323 -5.317 -5.327
  15.5   70.00 -4.928 -4.896 -4.886 -4.889 -4.928 -4.896 -4.886 -4.889
  16.0   70.00 -4.405 -4.373 -4.359 -4.367 -4.405 -4.373 -4.359 -4.367
  13.0   80.00 -6.751 -6.770 -6.794 -6.819 -6.751 -6.770 -6.794 -6.819
  13.5   80.00 -6.275 -6.292 -6.313 -6.335 -6.275 -6.292 -6.313 -6.335
  14.0   80.00 -6.020 -6.020 -6.035 -6.055 -6.020 -6.020 -6.035 -6.055
  14.5   80.00 -5.669 -5.659 -5.661 -5.677 -5.669 -5.659 -5.661 -5.677
  15.0   80.00 -5.228 -5.207 -5.201 -5.211 -5.228 -5.207 -5.201 -5.211
  15.5   80.00 -4.783 -4.757 -4.747 -4.754 -4.783 -4.757 -4.747 -4.754
  16.0   80.00 -4.245 -4.220 -4.210 -4.218 -4.245 -4.220 -4.210 -4.218
  13.0   90.00 -6.617 -6.636 -6.660 -6.686 -6.617 -6.636 -6.660 -6.686
  13.5   90.00 -6.141 -6.158 -6.179 -6.201 -6.141 -6.158 -6.179 -6.201
  14.0   90.00 -5.886 -5.886 -5.901 -5.921 -5.886 -5.886 -5.901 -5.921
  14.5   90.00 -5.535 -5.525 -5.527 -5.543 -5.535 -5.525 -5.527 -5.543
  15.0   90.00 -5.094 -5.073 -5.068 -5.077 -5.094 -5.073 -5.068 -5.077
  15.5   90.00 -4.618 -4.593 -4.588 -4.597 -4.618 -4.593 -4.588 -4.597
  16.0   90.00 -4.085 -4.068 -4.060 -4.069 -4.085 -4.068 -4.060 -4.069
