'HHe       ' Data fetched at http://www.astro.ku.dk/~aborysow/programs/
43           Ref: Gustafsson M., Frommhold L., 2001, Astrophys. J. 546, 1168
10           Opacity units: cm-1/amagat**2. Mult by 1.38529e-39*n(HI)*n(HeI)/rho to get cm2/g * matter
         1500.        2250.        3000.        4000.        5000.        6000.        7000.        8000.        9000.        10000.
(cm^-1)  1500K        2250K        3000K        4000K        5000K        6000K        7000K        8000K        9000K        10000K
=======================================================================================================================================
   50 0.157640E-06 0.141816E-06 0.130691E-06 0.119781E-06 0.111462E-06 0.104770E-06 0.991899E-07 0.944158E-07 0.902510E-07 0.865623E-07
  100 0.612895E-06 0.556143E-06 0.514821E-06 0.473488E-06 0.441554E-06 0.415653E-06 0.393936E-06 0.375280E-06 0.358956E-06 0.344463E-06
  200 0.220427E-05 0.206331E-05 0.194185E-05 0.180935E-05 0.170109E-05 0.161028E-05 0.153239E-05 0.146439E-05 0.140416E-05 0.135016E-05
  300 0.422998E-05 0.413757E-05 0.398896E-05 0.378952E-05 0.360687E-05 0.344360E-05 0.329775E-05 0.316673E-05 0.304821E-05 0.294023E-05
  400 0.616723E-05 0.635375E-05 0.630743E-05 0.613705E-05 0.593191E-05 0.572499E-05 0.552680E-05 0.534040E-05 0.516618E-05 0.500353E-05
  500 0.767746E-05 0.836935E-05 0.858367E-05 0.858089E-05 0.844197E-05 0.825029E-05 0.803989E-05 0.782588E-05 0.761527E-05 0.741130E-05
  600 0.862161E-05 0.996991E-05 0.105859E-04 0.108964E-04 0.109291E-04 0.108295E-04 0.106640E-04 0.104653E-04 0.102510E-04 0.100309E-04
  700 0.900675E-05 0.110613E-04 0.121742E-04 0.129218E-04 0.132288E-04 0.133035E-04 0.132479E-04 0.131166E-04 0.129405E-04 0.127381E-04
  800 0.892213E-05 0.116404E-04 0.132895E-04 0.145589E-04 0.152260E-04 0.155507E-04 0.156698E-04 0.156602E-04 0.155679E-04 0.154215E-04
  900 0.848902E-05 0.117622E-04 0.139342E-04 0.157650E-04 0.168521E-04 0.174888E-04 0.178400E-04 0.180036E-04 0.180404E-04 0.179896E-04
 1000 0.782848E-05 0.115114E-04 0.141505E-04 0.165390E-04 0.180771E-04 0.190691E-04 0.196984E-04 0.200796E-04 0.202866E-04 0.203689E-04
 1100 0.704320E-05 0.109804E-04 0.140038E-04 0.169104E-04 0.189031E-04 0.202739E-04 0.212134E-04 0.218471E-04 0.222591E-04 0.225078E-04
 1200 0.621312E-05 0.102584E-04 0.135677E-04 0.169262E-04 0.193527E-04 0.211064E-04 0.223731E-04 0.232828E-04 0.239263E-04 0.243685E-04
 1300 0.539399E-05 0.941978E-05 0.129151E-04 0.166428E-04 0.194635E-04 0.215873E-04 0.231847E-04 0.243832E-04 0.252761E-04 0.259324E-04
 1400 0.462273E-05 0.852726E-05 0.121141E-04 0.161209E-04 0.192831E-04 0.217506E-04 0.236696E-04 0.251589E-04 0.263101E-04 0.271936E-04
 1500 0.392029E-05 0.762827E-05 0.112217E-04 0.154168E-04 0.188592E-04 0.216337E-04 0.238550E-04 0.256278E-04 0.270383E-04 0.281555E-04
 1600 0.329580E-05 0.675537E-05 0.102851E-04 0.145822E-04 0.182404E-04 0.212779E-04 0.237742E-04 0.258155E-04 0.274791E-04 0.288300E-04
 1800 0.228373E-05 0.517324E-05 0.841959E-05 0.126979E-04 0.165978E-04 0.200172E-04 0.229604E-04 0.254695E-04 0.275965E-04 0.293921E-04
 2000 0.155267E-05 0.386666E-05 0.670994E-05 0.107449E-04 0.146633E-04 0.182735E-04 0.215118E-04 0.243738E-04 0.268807E-04 0.290636E-04
 2200 0.104257E-05 0.284007E-05 0.524197E-05 0.889671E-05 0.126628E-04 0.162966E-04 0.196822E-04 0.227733E-04 0.255603E-04 0.280523E-04
 2400 0.694755E-06 0.206080E-05 0.403524E-05 0.724494E-05 0.107431E-04 0.142687E-04 0.176721E-04 0.208745E-04 0.238390E-04 0.265532E-04
 2600 0.461047E-06 0.148278E-05 0.307277E-05 0.582533E-05 0.898937E-05 0.123126E-04 0.156302E-04 0.188414E-04 0.218879E-04 0.247390E-04
 2800 0.305356E-06 0.106077E-05 0.232142E-05 0.463863E-05 0.744096E-05 0.105026E-04 0.136584E-04 0.167961E-04 0.198427E-04 0.227528E-04
 3000 0.202280E-06 0.756261E-06 0.174406E-05 0.366689E-05 0.610795E-05 0.887750E-05 0.118210E-04 0.148235E-04 0.178038E-04 0.207063E-04
 3200 0.134183E-06 0.538202E-06 0.130534E-05 0.288296E-05 0.498114E-05 0.744954E-05 0.101512E-04 0.129757E-04 0.158391E-04 0.186795E-04
 3400 0.892075E-07 0.382746E-06 0.974681E-06 0.225782E-05 0.404236E-05 0.621626E-05 0.866385E-05 0.112839E-04 0.139942E-04 0.167307E-04
 3600 0.594990E-07 0.272359E-06 0.726900E-06 0.176352E-05 0.326852E-05 0.516457E-05 0.735834E-05 0.976081E-05 0.122950E-04 0.148975E-04
 3800 0.398282E-07 0.194048E-06 0.541942E-06 0.137511E-05 0.263588E-05 0.427661E-05 0.622565E-05 0.840764E-05 0.107530E-04 0.132015E-04
 4000 0.267682E-07 0.138497E-06 0.404188E-06 0.107126E-05 0.212188E-05 0.353269E-05 0.525185E-05 0.721791E-05 0.936995E-05 0.116524E-04
 4500 0.101011E-07 0.602335E-07 0.195152E-06 0.573785E-06 0.122911E-05 0.217684E-05 0.340354E-05 0.487899E-05 0.656511E-05 0.842155E-05
 5000 0.392250E-08 0.266863E-07 0.953042E-07 0.308876E-06 0.712311E-06 0.133740E-05 0.219322E-05 0.327205E-05 0.455532E-05 0.601819E-05
 5500 0.156735E-08 0.120662E-07 0.472258E-07 0.167795E-06 0.414954E-06 0.823445E-06 0.141293E-05 0.218943E-05 0.314837E-05 0.427760E-05
 6000 0.643813E-09 0.557064E-08 0.237755E-07 0.921765E-07 0.243613E-06 0.509610E-06 0.912995E-06 0.146686E-05 0.217546E-05 0.303580E-05
 6500 0.271473E-09 0.262462E-08 0.121672E-07 0.512647E-07 0.144368E-06 0.317623E-06 0.593025E-06 0.986319E-06 0.150661E-05 0.215681E-05
 7000 0.117319E-09 0.126150E-08 0.632654E-08 0.288673E-07 0.864025E-07 0.199529E-06 0.387610E-06 0.666458E-06 0.104729E-05 0.153645E-05
 7500 0.518407E-10 0.617455E-09 0.334008E-08 0.164536E-07 0.522205E-07 0.126351E-06 0.255011E-06 0.452724E-06 0.731088E-06 0.109811E-05
 8000 0.233971E-10 0.307603E-09 0.179024E-08 0.949572E-08 0.318960E-07 0.807405E-07 0.169102E-06 0.309664E-06 0.513456E-06 0.789010E-06
 8500 0.107643E-10 0.155737E-09 0.972506E-09 0.554038E-08 0.196584E-07 0.519841E-07 0.112842E-06 0.212927E-06 0.362180E-06 0.568918E-06
 9000 0.503961E-11 0.800391E-10 0.535510E-09 0.327012E-08 0.122384E-07 0.337690E-07 0.759038E-07 0.147471E-06 0.257156E-06 0.412680E-06
 9500 0.239882E-11 0.417292E-10 0.298344E-09 0.194877E-08 0.768044E-08 0.220855E-07 0.513519E-07 0.102639E-06 0.183346E-06 0.300391E-06
10000 0.115941E-11 0.220428E-10 0.168250E-09 0.117366E-08 0.486516E-08 0.145657E-07 0.350070E-07 0.719369E-07 0.131568E-06 0.219967E-06
10500 0.568516E-12 0.117909E-10 0.958616E-10 0.712917E-09 0.310402E-08 0.966478E-08 0.239881E-07 0.506407E-07 0.947643E-07 0.161578E-06
11000 0.282408E-12 0.638031E-11 0.552058E-10 0.437080E-09 0.199664E-08 0.645995E-08 0.165468E-07 0.358657E-07 0.686370E-07 0.119299E-06
