* DUMB           molcode name  -D00   npart  coeff(1:npart) number of atomic species, followed by pairs of atom. number and number of atoms.
* Note that for e- I use 99, and positive ions are denoted by .01 in code.
* produced from polyatomic_merge.srt of Irwin, after removal of all Sauval and
* Tatum species. BPz 21/08-1996
* log(Q) = sum_0^npart-1 ai log(T)^i
* The second part of the file (containing the diatomics numbered from 1 to 260)
* was produced from Sauval data file (received in 1994, update of Sauval et Tatum).
* Based on Huber and Herzberg. D00 added for 32 elts
* (handbook of chem & phys 92-93); still missing for 6. 26/08-96
* D00 for diatomic oxides updated with Pedley, J.B., Marshall, E.M., 1983,
* JPCRD, 12, 967. D00 for NaH, KH, RbH, CsH slightly updated with
* Stwalley, W.C., Zemke, W.T., Yang, S.C., 1991, JPCRD, 20, 153. 4/09-96
* CO and H2 from Irwin.
* Positive diatomic ions (number 701 to 736) are from Sauval (private comm.
* 10/09-1996). BPz inserts a Doo for TaO+. H3+ from Neale&Tennyson, 95,ApJ454,L169.
* FeH added without a partition function. Partition fct estimated and fitted BPz 27/01-1998, revised 19/02-1998.
* D00(CrO) updated from 4.40 to 4.74eV  (Hedgecock et al. 1996? Chemical physics).
* 09/06-1997: BPz adds TiO+, LaO+ and ZrO+. Following a suggestion by A. Irwin,
*   parttion fucntion data for isoelectronic molecules is subsituted:
*     ScO for TiO+, YO for ZrO+, and BaO for LaO+. For "D00" I have inserted
*     IP(neutral molec.) - D00(neutral molec.). E.g. for TiO+: IP(TiO)-D00(TiO)
* original data transformed to same format as Irwin (ie polynomial in lnT, and
* not in log10(theta).
* lnQ = a0 + a1 lnT + a2 (lnT)^2 + etc
* NOTE: D00 is the energy difference between the molecular species and the
* fully dissociated state (all numbers negative):
*   D00(H2) is the dissociation energy of H2,
*   D00(C3) is the energy difference between C3 and C+C+C, which is different
*     from the energy of dissociation of C3 --> C2 + C.
*   D00(H2+) is D00(H2) - IP(H2), i.e. the energy difference between H2+ and
*     H + H.
*   D00(H-) is the electron affinity of H.
*   D00(C2-) is D00(C2) + e-affinity(C2)
* D00(TiO) changed from 6.923 to 6.87eV  BPz 5/5-1997
* D00(NH) changed from 3.47 to 3.42 following Tarroni et al., 1997, JCP 106, 10265 BPz 19/09-2007
* D00(NH+) changed accordingly from 10.208 to 10.068   BPz 19/09-2007
* D00(CrH) changed from 2.863 to 1.93 following Chen et al. 1993, JCP, 98, 4929; IP(CrH)=7.33 implemented in atomdata-v09.1
* D00(FeH) changed from 1.94 to 1.59 following Schultz & Armentrout, 1991, JCP, 94, 2262; IP(FeH)=7.37 implemented in atomdata-v09.1
* D00(MgH) changed from  1.34 to 1.285 following Shayesteh et al. 2007, J. Phys. Chem. A, 111, 12495  (BPz 25/06-2009)
* TiH added using data from Burrows et al. 2005, ApJ 624, 988 (BPz 02/01-2005)
* FeF D00 added from Bauschlicher, 1996, chem. phys. 211, 163 (was zero before, and Tsuji's data was used) BPz 12/04-2012.
* second column updated in order to be able to automatically select species in takemolec.f
* v14.1:
* In previous versions, MnH was included twice, with different data:
*  147    125.00 'MnH  '   -2.500   6    9.67054906D+02 -6.08680009D+02  1.53367261D+02 -1.92448529D+01  1.20389949D+00 -2.99785235D-02 2 1 1 25 1
*  148    125.00 'MnH  '   -2.600   6    9.59967605D+02 -6.02418743D+02  1.51345035D+02 -1.89281458D+01  1.18022409D+00 -2.93026104D-02 2 1 1 25 1
* They were replaced by a single record after comparing the partition function to a calculation using approximate molecular constants from
* Koseki et al. 2006, JPCA 110, 2560, and using a value for the dissociation energy of 1.69eV from the experimental 39kcal/mol of
* Barone & Adamo, 1997, JQC, 61, 443 (quite uncertain):
*  147    125.00 'MnH  '   -1.690   6    9.67054906D+02 -6.08680009D+02  1.53367261D+02 -1.92448529D+01  1.20389949D+00 -2.99785235D-02 2 1 1 25 1
* CN dissociation energy was changed from 7.760 to 7.724eV, using http://atct.anl.gov/Thermochemical%20Data/version%201.110/index.html
*
*
    604  '            10100.00'  'H H -' -2.254   4   -1.79387754D+01  7.40679350D+00 -1.00253230D+00  5.18870778D-02 2 1 2 99 1
    626  '            60600.00'  'C C -' -9.479   4   -1.70757281D+01  7.06443769D+00 -7.77119619D-01  3.86465367D-02 2 6 2 99 1
    630  '            60700.00'  'C N -' -11.721   4   -2.12812485D-01  2.19149150D+00 -4.05382815D-01  3.15170146D-02 3 6 1 7 1 99 1
    634  '            61600.00'  'C S -' -7.560   5    3.60317170D+02 -1.82503557D+02  3.50509086D+01 -2.97150557D+00  9.46996415D-02 3 6 1 16 1 99 1
    637  '            70800.00'  'N O -' -6.523   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 3 7 1 8 1 99 1
    638  '            10800.00'  'O H -' -6.220   4   -9.18485119D+00  4.39133521D+00 -6.11141995D-01  3.53458320D-02 3 1 1 8 1 99 1
    645  '            90900.00'  'F F -' -4.682   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 9 2 99 1
    659  '            11400.00'  'SiH -' -4.337   4   -1.06121994D+01  5.51595235D+00 -7.49335358D-01  4.23810483D-02 3 1 1 14 1 99 1
    667  '            11600.00'  'S H -' -5.864   3    9.45533152D+00 -2.49482470D+00  2.54149131D-01 3 1 1 16 1 99 1
    285  '              100.00'  'H -' -0.754209   1    0.00000000D+00 2 1 1 99 1
    286  '              101.00'  'H H' -4.478   8    1.67299143D+04 -1.49946118D+04  5.74841732D+03 -1.22211056D+03  1.55638203D+02 -1.18745362D+01 5.02619278D-01 -9.10565765D-03 1 1 2
    287  '              202.00'  'HeHe' -0.001   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 2 2
    288  '              210.01'  'HeNe+' 20.873   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 3 2 1 10 1 99 -1
    289  '              319.00'  'LiK' -0.810   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 3 1 19 1
    290  '              335.00'  'LiBr' -4.330   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 3 1 35 1
    291  '              353.00'  'LiI' -3.540   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 3 1 53 1
    292  '              535.00'  'B Br' -4.489   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 5 1 35 1
    293  '              608.00'  'C O' -11.092   9    5.05610302D+04 -5.19599905D+04  2.33277212D+04 -5.97599309D+03  9.55509309D+02 -9.76516789D+01 6.22988408D+00 -2.26856236D-01  3.61025310D-03 2 6 1 8 1
    294  '              735.00'  'N Br' -2.901   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 7 1 35 1
    295  '              900.00'  'F -' -3.399   1    0.00000000D+00 2 9 1 99 1
    296  '             1010.00'  'NeNe' -0.002   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 10 2
    297  '             1135.00'  'NaBr' -3.739   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 11 1 35 1
    298  '             1153.00'  'NaI' -2.976   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 11 1 53 1
    299  '             1235.00'  'MgBr' -3.350   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 12 1 35 1
    300  '             1335.00'  'AlBr' -4.430   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 13 1 35 1
    301  '             1353.00'  'AlI' -3.770   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 13 1 53 1
    302  '             1453.00'  'SiI' -2.976   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 14 1 53 1
    303  '             1700.00'  'Cl-' -3.617   1    0.00000000D+00 2 17 1 99 1
    304  '             1818.00'  'ArAr' -0.011   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 18 2
    305  '             2020.00'  'CaCa' -0.129   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 20 2
