http://www.nist.gov/pml/data/comp.cfm

Isotope: Atomic number, Symbol, and Mass number

NB: I had to add a '0.0()' in the third column of the first line for elements
beyond He, as well as a () after the fractions that were 1.0000, in order
to conform to my reading statement. BPz 12/06-2012 

Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
1   H   1    1.00782503207(10)  0.999885(70)  1.00794(7)       g,m,r,b,w
    D   2    2.0141017778(4)    0.000115(70)
    T   3    3.0160492777(25)               
    H   4    4.02781(11)                    
        5    5.03531(11)                    
        6    6.04494(28)                    
        7    7.05275(108)#                  
_________________________________________________________________________
2   He  3    3.0160293191(26)   0.00000134(3)  4.002602(2)      g,r,a
        4    4.00260325415(6)   0.99999866(3)
        5    5.012220(50)                   
        6    6.0188891(8)                   
        7    7.028021(18)                   
        8    8.033922(7)                    
        9    9.043950(30)                   
        10   10.052400(80)                                           
_________________________________________________________________________
3   Li  3    3.03078(215)#      0.0()         6.941(2)         g,m,r,c,i
        4    4.02719(23)                    
        5    5.012540(50)                   
        6    6.015122795(16)    0.0759(4)   
        7    7.01600455(8)      0.9241(4)   
        8    8.02248736(10)                 
        9    9.0267895(21)                  
        10   10.035481(16)                  
        11   11.043798(21)                  
        12   12.05378(107)#                 
_________________________________________________________________________
4   Be  5    5.04079(429)#      0.0()         9.012182(3)       
        6    6.019726(6)                    
        7    7.01692983(11)                 
        8    8.00530510(4)                  
        9    9.0121822(4)       1.0000()    
        10   10.0135338(4)                  
        11   11.021658(7)                   
        12   12.026921(16)                  
        13   13.035690(80)                  
        14   14.04289(14)                   
        15   15.05346(54)#                  
        16   16.06192(54)#                  
_________________________________________________________________________
5   B   6    6.04681(75)#       0.0()         10.811(7)        g,m,r
        7    7.029920(80)                   
        8    8.0246072(11)                  
        9    9.0133288(11)                  
        10   10.0129370(4)      0.199(7)    
        11   11.0093054(4)      0.801(7)    
        12   12.0143521(15)                 
        13   13.0177802(12)                 
        14   14.025404(23)                  
        15   15.031103(24)                  
        16   16.039810(60)                  
        17   17.04699(18)                   
        18   18.05617(86)#                  
        19   19.06373(43)#                  
_________________________________________________________________________
6   C   8    8.037675(25)       0.0()         12.0107(8)       g,r
        9    9.0310367(23)                  
        10   10.0168532(4)                  
        11   11.0114336(10)                 
        12   12.0000000(0)      0.9893(8)   
        13   13.0033548378(10)  0.0107(8)   
        14   14.003241989(4)                
        15   15.0105993(9)                  
        16   16.014701(4)                   
        17   17.022586(19)                  
        18   18.026760(30)                  
        19   19.03481(11)                   
        20   20.04032(26)                   
        21   21.04934(54)#                  
        22   22.05720(97)#                  
_________________________________________________________________________
7   N   10   10.04165(43)       0.0()         14.0067(2)       g,r,a,d
        11   11.026090(50)                  
        12   12.0186132(11)                 
        13   13.00573861(29)                
        14   14.0030740048(6)   0.99636(20) 
        15   15.0001088982(7)   0.00364(20) 
        16   16.0061017(28)                 
        17   17.008450(16)                  
        18   18.014079(20)                  
        19   19.017029(18)                  
        20   20.023370(60)                  
        21   21.02711(10)                   
        22   22.03439(21)                   
        23   23.04122(32)#                  
        24   24.05104(43)#                  
        25   25.06066(54)#                  
_________________________________________________________________________
8   O   12   12.034405(20)      0.0()         15.9994(3)       g,r,e,w
        13   13.024812(10)                  
        14   14.00859625(12)                
        15   15.0030656(5)                  
        16   15.99491461956(16)  0.99757(16) 
        17   16.99913170(12)    0.00038(1)  
        18   17.9991610(7)      0.00205(14) 
        19   19.003580(3)                   
        20   20.0040767(12)                 
        21   21.008656(13)                  
        22   22.009970(60)                  
        23   23.01569(13)                   
        24   24.02047(25)                   
        25   25.02946(28)#                  
        26   26.03834(28)#                  
        27   27.04826(54)#                  
        28   28.05781(64)#                  
_________________________________________________________________________
9   F   14   14.03506(43)#      0.0()         18.9984032(5)     
        15   15.01801(14)                   
        16   16.011466(9)                   
        17   17.00209524(27)                
        18   18.0009380(6)                  
        19   18.99840322(7)     1.0000()    
        20   19.99998132(8)                 
        21   20.9999490(19)                 
        22   22.002999(13)                  
        23   23.003570(90)                  
        24   24.008120(80)                  
        25   25.01210(11)                   
        26   26.01962(18)                   
        27   27.02676(40)                   
        28   28.03567(55)#                  
        29   29.04326(62)#                  
        30   30.05250(64)#                  
        31   31.06043(64)#                  
_________________________________________________________________________
10  Ne  16   16.025761(22)      0.0()         20.1797(6)       g,m,a
        17   17.017672(29)                  
        18   18.0057082(3)                  
        19   19.0018802(3)                  
        20   19.9924401754(19)  0.9048(3)   
        21   20.99384668(4)     0.0027(1)   
        22   21.991385114(19)   0.0925(3)   
        23   22.99446690(11)                
        24   23.9936108(4)                  
        25   24.997737(28)                  
        26   26.000461(29)                  
        27   27.00759(12)                   
        28   28.01207(16)                   
        29   29.01939(29)                   
        30   30.02480(61)                   
        31   31.03311(97)#                  
        32   32.04002(86)#                  
        33   33.04938(86)#                  
        34   34.05703(87)#                  
_________________________________________________________________________
11  Na  18   18.025970(50)      0.0()         22.98976928(2)    
        19   19.013877(13)                  
        20   20.007351(7)                   
        21   20.9976552(8)                  
        22   21.9944364(4)                  
        23   22.9897692809(29)  1.0000()
        24   23.99096278(8)                 
        25   24.9899540(13)                 
        26   25.992633(6)                   
        27   26.994077(4)                   
        28   27.998938(14)                  
        29   29.002861(14)                  
        30   30.008976(27)                  
        31   31.01359(23)                   
        32   32.02047(38)                   
        33   33.02672(94)                   
        34   34.03517(96)#                  
        35   35.04249(102)#                 
        36   36.05148(102)#                 
        37   37.05934(103)#                 
_________________________________________________________________________
12  Mg  19   19.03547(27)       0.0()         24.3050(6)        
        20   20.018863(29)                  
        21   21.011713(18)                  
        22   21.9995738(14)                 
        23   22.9941237(14)                 
        24   23.985041700(14)   0.7899(4)   
        25   24.98583692(3)     0.1000(1)   
        26   25.982592929(30)   0.1101(3)   
        27   26.98434059(5)                 
        28   27.9838768(22)                 
        29   28.988600(15)                  
        30   29.990434(9)                   
        31   30.996546(13)                  
        32   31.998975(19)                  
        33   33.005254(21)                  
        34   34.00946(25)                   
        35   35.01734(43)#                  
        36   36.02300(54)#                  
        37   37.03140(97)#                  
        38   38.03757(54)#                  
        39   39.04677(55)#                  
        40   40.05393(97)#                  
_________________________________________________________________________
13  Al  21   21.02804(32)#      0.0()         26.9815386(8)     
        22   22.01952(10)#                  
        23   23.007267(20)                  
        24   23.9999389(30)                 
        25   24.9904281(5)                  
        26   25.98689169(6)                 
        27   26.98153863(12)    1.0000()
        28   27.98191031(14)                
        29   28.9804450(13)                 
        30   29.982960(15)                  
        31   30.983947(22)                  
        32   31.988120(90)                  
        33   32.990840(80)                  
        34   33.99685(12)                   
        35   34.99986(19)                   
        36   36.00621(23)                   
        37   37.01068(36)                   
        38   38.01723(78)                   
        39   39.02297(158)                  
        40   40.03145(75)#                  
        41   41.03833(86)#                  
        42   42.04689(97)#                  
_________________________________________________________________________
14  Si  22   22.03453(22)#      0.0()         28.0855(3)       r
        23   23.02552(21)#                  
        24   24.011546(21)                  
        25   25.004106(11)                  
        26   25.992330(3)                   
        27   26.98670491(16)                
        28   27.9769265325(19)  0.92223(19) 
        29   28.976494700(22)   0.04685(8)  
        30   29.97377017(3)     0.03092(11) 
        31   30.97536323(4)                 
        32   31.97414808(5)                 
        33   32.978000(17)                  
        34   33.978576(15)                  
        35   34.984580(40)                  
        36   35.98660(13)                   
        37   36.99294(18)                   
        38   37.99563(15)                   
        39   39.00207(36)                   
        40   40.00587(60)                   
        41   41.01456(198)                  
        42   42.01979(54)#                  
        43   43.02866(75)#                  
        44   44.03526(86)#                  
_________________________________________________________________________
15  P   24   24.03435(54)#      0.0()         30.973762(2)      
        25   25.02026(21)#                  
        26   26.01178(21)#                  
        27   26.999230(28)                  
        28   27.992315(4)                   
        29   28.9818006(6)                  
        30   29.9783138(3)                  
        31   30.97376163(20)    1.0000()    
        32   31.97390727(20)                
        33   32.9717255(12)                 
        34   33.973636(5)                   
        35   34.9733141(20)                 
        36   35.978260(14)                  
        37   36.979610(40)                  
        38   37.98416(11)                   
        39   38.98618(11)                   
        40   39.99130(15)                   
        41   40.99434(23)                   
        42   42.00101(48)                   
        43   43.00619(104)                  
        44   44.01299(75)#                  
        45   45.01922(86)#                  
        46   46.02738(97)#                  
_________________________________________________________________________
16  S   26   26.02788(32)#      0.0()         32.065(5)        g,r
        27   27.01883(22)#                  
        28   28.00437(17)                   
        29   28.996610(50)                  
        30   29.984903(3)                   
        31   30.9795547(16)                 
