ch continuous opacity: Kurucz et al 1987, ApJ 322, 992
2.161E-23 (g) molecular weight
Col 1 = photon energy (eV); Col 2-9 = opacity (cm2/g of the molecule): Boltzmann LTE
      1000K    2000K    3000K    4000K    5000K    6000K    7000K    8000K    9000K
 0.2 0.00E+00 8.65E-11 3.41E-08 5.51E-07 2.56E-06 6.57E-06 1.22E-05 1.86E-05 2.54E-05
 0.3 0.00E+00 1.19E-09 4.72E-07 7.63E-06 3.55E-05 9.11E-05 1.69E-04 2.60E-04 3.53E-04
 0.4 0.00E+00 1.81E-08 7.17E-06 1.16E-04 5.41E-04 1.39E-03 2.57E-03 3.95E-03 5.37E-03
 0.5 0.00E+00 1.42E-07 5.55E-05 8.98E-04 4.19E-03 1.07E-02 1.99E-02 3.05E-02 4.15E-02
 0.6 2.18E-15 5.69E-07 2.18E-04 3.49E-03 1.61E-02 4.13E-02 7.63E-02 1.17E-01 1.59E-02
 0.7 7.22E-15 1.41E-06 5.14E-04 8.05E-03 3.69E-02 9.35E-02 1.73E-01 2.63E-01 3.57E-01
 0.8 2.80E-14 2.84E-06 9.67E-04 1.47E-02 6.66E-02 1.67E-01 3.05E-01 4.63E-01 6.25E-01
 0.9 8.05E-14 5.27E-06 1.66E-03 2.42E-02 1.07E-01 2.66E-01 4.81E-01 7.26E-01 9.72E-01
 1.0 1.97E-13 9.11E-06 2.66E-03 3.78E-02 1.64E-01 4.01E-01 7.17E-01 1.08E+00 1.44E+00
 1.1 6.66E-13 1.55E-05 4.19E-03 5.78E-02 2.46E-01 5.92E-01 1.06E+00 1.58E+00 2.10E+00
 1.2 3.42E-12 2.78E-05 6.62E-03 8.74E-02 3.66E-01 8.74E-01 1.55E+00 2.29E+00 3.03E+00
 1.3 2.60E-11 6.34E-05 1.14E-02 1.39E-01 5.55E-01 1.30E+00 2.27E+00 3.33E+00 4.39E+00
 1.4 7.03E-11 9.53E-05 1.61E-02 1.92E-01 7.63E-01 1.77E+00 3.07E+00 4.48E+00 5.88E+00
 1.5 8.93E-10 3.81E-04 3.63E-02 3.51E-01 1.27E+00 2.81E+00 4.72E+00 6.76E+00 8.74E+00
 1.6 1.67E-09 5.78E-04 5.37E-02 5.04E-01 1.78E+00 3.88E+00 6.48E+00 9.16E+00 1.18E+01
 1.7 2.69E-08 2.82E-03 1.43E-01 1.02E+00 3.18E+00 6.48E+00 1.03E+01 1.42E+01 1.79E+01
 1.8 7.03E-08 5.64E-03 2.41E-01 1.55E+00 4.55E+00 8.93E+00 1.39E+01 1.89E+01 2.36E+01
 1.9 5.69E-07 1.40E-02 4.23E-01 2.42E+00 6.80E+00 1.30E+01 1.99E+01 2.69E+01 3.33E+01
 2.0 1.76E-06 3.79E-02 1.04E+00 5.23E+00 1.31E+01 2.34E+01 3.42E+01 4.44E+01 5.37E+01
 2.1 3.79E-06 6.52E-02 1.56E+00 7.26E+00 1.75E+01 3.04E+01 4.38E+01 5.64E+01 6.76E+01
 2.2 8.65E-05 3.38E-01 4.67E+00 1.68E+01 3.53E+01 5.64E+01 7.77E+01 9.67E+01 1.13E+02
 2.3 4.95E-05 2.93E-01 5.46E+00 2.25E+01 4.95E+01 8.10E+01 1.11E+02 1.37E+02 1.59E+02
 2.4 3.48E-04 9.30E-01 1.20E+01 3.92E+01 7.50E+01 1.11E+02 1.42E+02 1.67E+02 1.88E+02
 2.5 4.16E-03 3.52E+00 2.96E+01 8.00E+01 1.41E+02 1.99E+02 2.49E+02 2.91E+02 3.26E+02
 2.6 1.49E-02 6.48E+00 5.41E+01 1.51E+02 2.69E+02 3.81E+02 4.77E+02 5.51E+02 6.11E+02
 2.7 1.78E-01 3.46E+01 1.92E+02 4.18E+02 6.29E+02 7.87E+02 9.02E+02 9.81E+02 1.03E+03
 2.8 3.13E+00 1.46E+02 5.55E+02 1.02E+03 1.40E+03 1.66E+03 1.83E+03 1.93E+03 1.99E+03
 2.9 1.42E+01 4.32E+02 1.36E+03 2.27E+03 2.92E+03 3.34E+03 3.58E+03 3.71E+03 3.78E+03
 3.0 5.41E+01 1.06E+03 2.99E+03 4.67E+03 5.74E+03 6.34E+03 6.62E+03 6.76E+03 6.76E+03
 3.1 2.01E+02 2.15E+03 5.32E+03 7.87E+03 9.35E+03 1.01E+04 1.04E+04 1.04E+04 1.03E+04
 3.2 6.38E+02 3.94E+03 8.10E+03 1.11E+04 1.27E+04 1.33E+04 1.35E+04 1.34E+04 1.31E+04
 3.3 1.51E+03 6.52E+03 1.12E+04 1.39E+04 1.52E+04 1.55E+04 1.54E+04 1.51E+04 1.47E+04
 3.4 2.71E+03 9.07E+03 1.36E+04 1.56E+04 1.63E+04 1.61E+04 1.57E+04 1.52E+04 1.47E+04
 3.5 4.10E+03 1.02E+04 1.38E+04 1.52E+04 1.53E+04 1.49E+04 1.43E+04 1.37E+04 1.32E+04
 3.6 5.64E+03 9.90E+03 1.21E+04 1.27E+04 1.25E+04 1.21E+04 1.16E+04 1.12E+04 1.07E+04
 3.7 6.76E+03 8.65E+03 9.53E+03 9.58E+03 9.25E+03 8.93E+03 8.61E+03 8.33E+03 8.10E+03
 3.8 6.34E+03 6.71E+03 6.76E+03 6.57E+03 6.34E+03 6.11E+03 5.97E+03 5.88E+03 5.83E+03
 3.9 4.42E+03 4.28E+03 4.13E+03 3.99E+03 3.93E+03 3.94E+03 3.99E+03 4.05E+03 4.11E+03
 4.0 2.06E+03 1.97E+03 1.92E+03 1.96E+03 2.11E+03 2.32E+03 2.54E+03 2.74E+03 2.92E+03
 4.1 7.96E+02 7.68E+02 8.00E+02 9.53E+02 1.24E+03 1.58E+03 1.93E+03 2.25E+03 2.52E+03
 4.2 3.32E+02 3.27E+02 3.79E+02 5.69E+02 8.93E+02 1.28E+03 1.66E+03 2.00E+03 2.29E+03
 4.3 1.36E+02 1.38E+02 2.25E+02 4.95E+02 9.11E+02 1.37E+03 1.80E+03 2.16E+03 2.46E+03
 4.4 5.46E+01 6.25E+01 1.99E+02 5.92E+02 1.15E+03 1.74E+03 2.25E+03 2.68E+03 3.03E+03
 4.5 1.81E+01 3.07E+01 1.93E+02 6.43E+02 1.29E+03 1.95E+03 2.54E+03 3.03E+03 3.42E+03
 4.6 2.99E+00 3.15E+01 2.88E+02 8.84E+02 1.65E+03 2.41E+03 3.06E+03 3.57E+03 3.97E+03
 4.7 2.60E-01 5.60E+01 4.90E+02 1.35E+03 2.33E+03 3.21E+03 3.91E+03 4.44E+03 4.81E+03
 4.8 1.85E-01 8.19E+01 6.57E+02 1.73E+03 2.90E+03 3.91E+03 4.72E+03 5.27E+03 5.69E+03
 4.9 8.56E-01 1.62E+02 9.76E+02 2.30E+03 3.69E+03 4.86E+03 5.78E+03 6.43E+03 6.89E+03
 5.0 2.31E+00 3.25E+02 1.60E+03 3.39E+03 5.09E+03 6.43E+03 7.40E+03 8.05E+03 8.51E+03
 5.1 5.46E+00 5.32E+02 2.38E+03 4.72E+03 6.71E+03 8.19E+03 9.21E+03 9.86E+03 1.03E+04
 5.2 2.40E+01 1.02E+03 3.65E+03 6.48E+03 8.74E+03 1.03E+04 1.12E+04 1.18E+04 1.22E+04
 5.3 6.94E+01 1.89E+03 5.41E+03 8.70E+03 1.11E+04 1.27E+04 1.37E+04 1.43E+04 1.47E+04
 5.4 3.83E+02 2.91E+03 7.45E+03 1.13E+04 1.41E+04 1.60E+04 1.71E+04 1.78E+04 1.81E+04
 5.5 5.69E+02 5.51E+03 1.19E+04 1.68E+04 1.99E+04 2.17E+04 2.26E+04 2.30E+04 2.30E+04
 5.6 1.81E+03 1.12E+04 2.02E+04 2.55E+04 2.82E+04 2.91E+04 2.91E+04 2.86E+04 2.80E+04
 5.7 3.82E+03 1.76E+04 2.78E+04 3.26E+04 3.41E+04 3.41E+04 3.33E+04 3.22E+04 3.12E+04
 5.8 6.62E+03 2.34E+04 3.29E+04 3.66E+04 3.75E+04 3.71E+04 3.62E+04 3.51E+04 3.41E+04
 5.9 3.20E+04 4.41E+04 4.86E+04 5.00E+04 4.95E+04 4.86E+04 4.77E+04 4.63E+04 4.51E+04
 6.0 7.96E+04 9.35E+04 9.53E+04 9.25E+04 8.84E+04 8.42E+04 8.00E+04 7.68E+04 7.36E+04
 6.1 1.91E+05 1.96E+05 1.84E+05 1.68E+05 1.52E+05 1.39E+05 1.28E+05 1.19E+05 1.12E+05
 6.2 3.48E+05 3.14E+05 2.73E+05 2.36E+05 2.06E+05 1.83E+05 1.65E+05 1.50E+05 1.40E+05
 6.3 3.72E+05 3.27E+05 2.80E+05 2.42E+05 2.11E+05 1.86E+05 1.68E+05 1.53E+05 1.42E+05
 6.4 3.11E+05 2.73E+05 2.37E+05 2.08E+05 1.84E+05 1.65E+05 1.50E+05 1.38E+05 1.29E+05
 6.5 2.18E+05 1.93E+05 1.74E+05 1.58E+05 1.44E+05 1.33E+05 1.24E+05 1.16E+05 1.09E+05
 6.6 1.28E+05 1.17E+05 1.14E+05 1.12E+05 1.09E+05 1.05E+05 1.01E+05 9.72E+04 9.35E+04
 6.7 6.62E+04 6.57E+04 7.40E+04 8.24E+04 8.74E+04 8.88E+04 8.88E+04 8.79E+04 8.61E+04
 6.8 3.27E+04 3.78E+04 5.27E+04 6.76E+04 7.73E+04 8.28E+04 8.51E+04 8.56E+04 8.51E+04
 6.9 1.51E+04 2.33E+04 4.24E+04 6.11E+04 7.36E+04 8.10E+04 8.47E+04 8.61E+04 8.65E+04
 7.0 6.85E+03 1.68E+04 3.71E+04 5.64E+04 6.99E+04 7.82E+04 8.28E+04 8.56E+04 8.65E+04
 7.1 3.94E+03 1.55E+04 3.58E+04 5.51E+04 6.89E+04 7.82E+04 8.42E+04 8.79E+04 8.98E+04
 7.2 4.19E+03 1.90E+04 4.10E+04 6.11E+04 7.63E+04 8.65E+04 9.25E+04 9.62E+04 9.86E+04
 7.3 7.45E+03 3.19E+04 6.20E+04 8.47E+04 9.95E+04 1.07E+05 1.11E+05 1.12E+05 1.12E+05
 7.4 1.60E+04 5.74E+04 9.44E+04 1.15E+05 1.24E+05 1.26E+05 1.24E+05 1.21E+05 1.18E+05
 7.5 3.52E+04 9.67E+04 1.34E+05 1.44E+05 1.43E+05 1.36E+05 1.29E+05 1.22E+05 1.16E+05
 7.6 6.85E+04 1.04E+05 1.20E+05 1.24E+05 1.21E+05 1.17E+05 1.12E+05 1.08E+05 1.05E+05
 7.7 1.97E+05 2.32E+05 2.37E+05 2.29E+05 2.15E+05 2.01E+05 1.89E+05 1.78E+05 1.69E+05
 7.8 7.40E+05 7.59E+05 6.94E+05 6.06E+05 5.27E+05 4.60E+05 4.07E+05 3.66E+05 3.34E+05
 7.9 1.77E+06 1.50E+06 1.22E+06 9.90E+05 8.14E+05 6.85E+05 5.88E+05 5.18E+05 4.62E+05
 8.0 1.04E+06 9.35E+05 8.10E+05 6.94E+05 5.97E+05 5.23E+05 4.61E+05 4.14E+05 3.78E+05
 8.1 5.60E+05 5.37E+05 4.95E+05 4.46E+05 3.99E+05 3.59E+05 3.26E+05 2.99E+05 2.78E+05
 8.2 2.99E+05 2.92E+05 2.79E+05 2.60E+05 2.39E+05 2.21E+05 2.05E+05 1.91E+05 1.80E+05
 8.3 1.13E+05 1.17E+05 1.19E+05 1.18E+05 1.14E+05 1.10E+05 1.05E+05 1.01E+05 9.72E+04
 8.4 2.79E+04 3.16E+04 3.62E+04 3.96E+04 4.15E+04 4.24E+04 4.27E+04 4.26E+04 4.22E+04
 8.5 3.60E+03 4.62E+03 6.71E+03 8.93E+03 1.08E+04 1.22E+04 1.32E+04 1.39E+04 1.44E+04
 8.6 1.91E+01 2.25E+02 8.14E+02 1.56E+03 2.27E+03 2.86E+03 3.33E+03 3.68E+03 3.95E+03
 8.7 1.82E+02 8.19E+02 1.40E+03 1.75E+03 1.92E+03 1.99E+03 2.00E+03 1.99E+03 1.97E+03
 8.8 2.35E+02 1.22E+03 2.13E+03 2.66E+03 2.87E+03 2.90E+03 2.84E+03 2.74E+03 2.63E+03
 8.9 1.46E+02 9.53E+02 1.89E+03 2.55E+03 2.93E+03 3.10E+03 3.14E+03 3.12E+03 3.08E+03
 9.0 5.41E+01 4.86E+02 1.15E+03 1.74E+03 2.17E+03 2.44E+03 2.60E+03 2.69E+03 2.74E+03
 9.1 1.28E+01 1.66E+02 5.09E+02 9.02E+02 1.24E+03 1.49E+03 1.67E+03 1.80E+03 1.89E+03
 9.2 1.24E+00 4.86E+01 1.88E+02 3.59E+02 5.18E+02 6.62E+02 7.77E+02 8.74E+02 9.53E+02
 9.3 2.32E-01 1.82E+01 7.82E+01 1.60E+02 2.46E+02 3.29E+02 4.05E+02 4.72E+02 5.27E+02
 9.4 3.95E-01 2.27E+01 8.19E+01 1.48E+02 2.08E+02 2.59E+02 3.03E+02 3.39E+02 3.69E+02
 9.5 5.88E-01 2.79E+01 9.07E+01 1.53E+02 2.01E+02 2.36E+02 2.61E+02 2.79E+02 2.91E+02
 9.6 2.79E-01 1.68E+01 6.15E+01 1.10E+02 1.50E+02 1.79E+02 1.98E+02 2.11E+02 2.20E+02
 9.7 1.35E-01 9.95E+00 3.92E+01 7.40E+01 1.04E+02 1.26E+02 1.42E+02 1.53E+02 1.60E+02
 9.8 7.13E-02 5.51E+00 2.23E+01 4.31E+01 6.20E+01 7.63E+01 8.74E+01 9.48E+01 1.00E+02
 9.9 2.64E-02 2.22E+00 9.53E+00 1.93E+01 2.88E+01 3.68E+01 4.31E+01 4.77E+01 5.14E+01
10.0 4.81E-03 4.95E-01 2.38E+00 5.23E+00 8.37E+00 1.12E+01 1.36E+01 1.54E+01 1.68E+01
10.1 2.17E-04 4.61E-02 2.92E-01 7.82E-01 1.41E+00 2.05E+00 2.60E+00 3.06E+00 3.42E+00
10.2 1.27E-04 2.71E-02 1.54E-01 3.44E-01 5.27E-01 6.71E-01 7.77E-01 8.51E-01 9.02E-01
10.3 4.05E-06 1.30E-02 1.39E-01 3.72E-01 5.92E-01 7.40E-01 8.24E-01 8.61E-01 8.70E-01
10.4 7.17E-06 2.31E-02 2.47E-01 6.57E-01 1.04E+00 1.30E+00 1.44E+00 1.50E+00 1.52E+00
10.5 4.35E-06 1.40E-02 1.49E-01 3.98E-01 6.29E-01 7.87E-01 8.74E-01 9.11E-01 9.16E-01
