oh continuous opacity: Kurucz et al 1987, ApJ 322, 992
2.824E-23 (g) molecular weight
Col 1 = photon energy (eV); Col 2-9 = opacity (cm2/g of the molecule): Boltzmann LTE
      1000K    2000K    3000K    4000K    5000K    6000K    7000K    8000K    9000K
 2.0 0.00E+00 2.00E-09 1.52E-06 3.90E-05 2.60E-04 8.92E-04 2.10E-03 3.90E-03 6.23E-03
 2.2 0.00E+00 1.13E-08 8.61E-06 2.21E-04 1.47E-03 5.03E-03 1.19E-02 2.21E-02 3.52E-02
 2.4 0.00E+00 5.03E-08 3.75E-05 9.63E-04 6.41E-03 2.20E-02 5.17E-02 9.60E-02 1.53E-01
 2.6 0.00E+00 1.75E-07 1.30E-04 3.31E-03 2.21E-02 7.54E-02 1.77E-01 3.30E-01 5.28E-01
 2.8 5.77E-14 5.35E-07 3.72E-04 9.42E-03 6.27E-02 2.14E-01 5.03E-01 9.35E-01 1.49E+00
 3.0 1.15E-12 5.42E-07 9.46E-04 2.31E-02 1.52E-01 5.17E-01 1.53E+00 2.25E+00 3.58E+00
 3.2 7.97E-12 7.12E-06 2.21E-03 4.99E-02 3.21E-01 1.08E+00 2.52E+00 4.67E+00 7.40E+00
 3.4 4.25E-11 2.82E-05 5.24E-03 1.01E-01 6.20E-01 2.05E+00 4.71E+00 8.68E+00 1.37E+01
 3.6 2.02E-10 1.04E-04 1.31E-02 2.05E-01 1.15E+00 3.65E+00 8.25E+00 1.50E+01 2.35E+01
 3.8 3.48E-08 4.00E-04 3.40E-02 4.21E-01 2.12E+00 6.34E+00 1.38E+01 2.45E+01 3.79E+01
 4.0 2.86E-07 1.51E-03 8.82E-02 9.00E-01 3.97E+00 1.10E+01 2.28E+01 3.93E+01 5.95E+01
 4.2 1.79E-06 5.88E-03 2.29E-01 1.94E+00 7.61E+00 1.95E+01 3.82E+01 6.37E+01 9.35E+01
 4.4 1.76E-05 2.32E-02 5.95E-01 4.18E+00 1.47E+01 3.50E+01 6.55E+01 1.04E+02 1.49E+02
 4.6 4.64E-04 1.03E-01 1.62E+00 9.07E+00 2.84E+01 6.27E+01 1.12E+02 1.71E+02 2.38E+02
 4.8 3.18E-03 4.11E-01 4.46E+00 1.99E+01 5.49E+01 1.12E+02 1.89E+02 2.80E+02 3.79E+02
 5.0 2.29E-02 1.63E+00 1.25E+01 4.46E+01 1.07E+02 2.00E+02 3.19E+02 4.53E+02 5.95E+02
 5.2 1.28E-01 6.06E+00 3.45E+01 1.01E+02 2.12E+02 3.61E+02 5.42E+02 7.33E+02 9.35E+02
 5.4 6.66E-01 2.07E+01 9.21E+01 2.27E+02 4.21E+02 6.59E+02 9.21E+02 1.19E+03 1.46E+03
 5.6 3.00E+00 6.41E+01 2.33E+02 4.96E+02 8.25E+02 1.19E+03 1.57E+03 1.94E+03 2.29E+03
 5.8 1.25E+01 1.79E+02 5.52E+02 1.04E+03 1.58E+03 2.12E+03 2.64E+03 3.13E+03 3.58E+03
 6.0 4.67E+01 4.53E+02 1.21E+03 2.06E+03 2.89E+03 3.65E+03 4.36E+03 4.96E+03 5.49E+03
 6.1 8.85E+01 6.98E+02 1.74E+03 2.83E+03 3.82E+03 4.71E+03 5.49E+03 6.16E+03 6.73E+03
 6.2 1.65E+02 1.05E+03 2.45E+03 3.82E+03 4.99E+03 6.02E+03 6.84E+03 7.58E+03 8.18E+03
 6.3 3.02E+02 1.56E+03 3.37E+03 5.03E+03 6.41E+03 7.51E+03 8.43E+03 9.17E+03 9.81E+03
 6.4 5.45E+02 2.26E+03 4.53E+03 6.52E+03 8.04E+03 9.24E+03 1.02E+04 1.10E+04 1.16E+04
 6.5 9.63E+02 3.22E+03 5.99E+03 8.22E+03 9.92E+03 1.12E+04 1.21E+04 1.29E+04 1.35E+04
 6.6 1.68E+03 4.53E+03 7.72E+03 1.02E+04 1.19E+04 1.32E+04 1.42E+04 1.49E+04 1.55E+04
 6.7 2.88E+03 6.27E+03 9.77E+03 1.23E+04 1.41E+04 1.53E+04 1.63E+04 1.70E+04 1.75E+04
 6.8 4.82E+03 8.68E+03 1.23E+04 1.47E+04 1.64E+04 1.76E+04 1.84E+04 1.91E+04 1.96E+04
 6.9 7.90E+03 1.20E+04 1.54E+04 1.76E+04 1.91E+04 2.01E+04 2.08E+04 2.14E+04 2.19E+04
 7.0 1.26E+04 1.66E+04 1.94E+04 2.12E+04 2.23E+04 2.31E+04 2.37E+04 2.42E+04 2.46E+04
 7.1 1.94E+04 2.29E+04 2.49E+04 2.59E+04 2.66E+04 2.71E+04 2.76E+04 2.79E+04 2.82E+04
 7.2 2.87E+04 3.12E+04 3.21E+04 3.23E+04 3.24E+04 3.25E+04 3.27E+04 3.28E+04 3.29E+04
 7.3 4.04E+04 4.18E+04 4.11E+04 4.04E+04 4.00E+04 3.97E+04 3.93E+04 3.90E+04 3.90E+04
 7.4 5.42E+04 5.38E+04 5.17E+04 4.99E+04 4.89E+04 4.78E+04 4.71E+04 4.67E+04 4.60E+04
 7.5 6.87E+04 6.69E+04 6.34E+04 6.06E+04 5.84E+04 5.70E+04 5.56E+04 5.45E+04 5.38E+04
 7.6 8.29E+04 7.90E+04 7.44E+04 7.05E+04 6.80E+04 6.55E+04 6.37E+04 6.23E+04 6.09E+04
 7.7 9.38E+04 8.89E+04 8.32E+04 7.86E+04 7.54E+04 7.26E+04 7.05E+04 6.84E+04 6.66E+04
 7.8 1.01E+05 9.49E+04 8.85E+04 8.39E+04 8.00E+04 7.72E+04 7.44E+04 7.22E+04 7.01E+04
 7.9 1.03E+05 9.63E+04 9.00E+04 8.54E+04 8.15E+04 7.83E+04 7.54E+04 7.30E+04 7.08E+04
 8.0 9.99E+04 9.31E+04 8.75E+04 8.29E+04 7.93E+04 7.61E+04 7.37E+04 7.12E+04 6.91E+04
